track_name,artist(s)_name,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,cover_url,release_date
Caile,Luar La L,1494,2,273914335,122,Unknown,Major,70,46,76,30,0,9,45,https://i.scdn.co/image/ab67616d0000b27305c2cc3e87e9aa15d9db3dd9,2020-12-18
Si Te La Encuentras Por Ahï¿,Feid,1379,4,179061440,172,G#,Minor,74,46,58,15,0,13,8,https://i.scdn.co/image/ab67616d0000b273b47e7b6440836be413b84c34,2022-08-05
GIVENCHY,Duki,625,4,185236961,103,G#,Major,61,38,62,14,0,23,40,https://i.scdn.co/image/ab67616d0000b273b661d9d73921e40ae97cb5e4,2022-07-20
ALIEN SUPERSTAR,Beyoncï¿,2688,0,171788484,122,A#,Minor,55,46,64,0,0,17,10,Not Found,2022-07-29
Mary On A Cross,Ghost,2668,2,387080183,130,B,Major,47,56,90,0,0,10,4,https://i.scdn.co/image/ab67616d0000b273bef9b0a348ea8dd18a581025,2019-09-13
Attention,NewJeans,799,12,264717480,105,A#,Minor,81,70,65,24,0,8,4,https://i.scdn.co/image/ab67616d0000b2739d28fd01859073a3ae6ea209,2022-08-01
THE SHADE,Rex Orange County,1189,6,244928911,120,F,Major,90,73,51,39,0,9,6,https://i.scdn.co/image/ab67616d0000b2735b656d32ea6b0b9c54c2d2e0,2022-03-11
"Come Back Home - From ""Purple Hearts""",Sofia Carson,367,0,97610446,145,G,Major,56,43,53,24,0,12,4,https://i.scdn.co/image/ab67616d0000b27326af6664e24916047b68ab81,2022-07-12
El Rescate,"Grupo Marca Registrada, Junior H",527,4,287278853,99,G,Minor,79,64,59,28,0,11,14,https://i.scdn.co/image/ab67616d0000b2731857fd24035428986c831a7f,2022-07-22
Heartless,Kanye West,17504,34,887906111,88,A#,Minor,79,66,65,5,0,25,14,https://i.scdn.co/image/ab67616d0000b273346d77e155d854735410ed18,2008-01-01
